MFCCs_10,MFCCs_17,Species
0.135762035,0.053172874,HylaMinuta
0.305451789,-0.118563157,HylaMinuta
0.002028043,0.106857564,HylaMinuta
0.099050619,0.097285,HylaMinuta
-0.010625768,0.009877634,HylaMinuta
0.079508644,0.043233004,HylaMinuta
0.055653749,0.093307007,HylaMinuta
0.143256469,-0.002239992,HylaMinuta
0.194801481,-0.157842442,HylaMinuta
0.220832818,-0.05306288,HylaMinuta
0.179644978,-0.159301308,HylaMinuta
0.337579437,0.005610992,HylaMinuta
0.112666042,0.022612752,HylaMinuta
0.054814443,0.12442839,HylaMinuta
0.164365211,0.079993506,HylaMinuta
0.33197636,-0.16183562,HylaMinuta
0.101224013,-0.023785591,HylaMinuta
0.02755918,0.149818736,HylaMinuta
0.194085613,-0.020758857,HylaMinuta
0.096272718,0.046483617,HylaMinuta
-0.071257265,0.090030901,HylaMinuta
0.198191789,0.045600339,HylaMinuta
0.181381887,0.038758901,HylaMinuta
0.12648468,0.164755468,HylaMinuta
0.090899712,0.027896547,HylaMinuta
-0.122330844,-0.063231071,HypsiboasCinerascens
-0.093827333,-0.070410209,HypsiboasCinerascens
-0.273380275,-0.198492183,HypsiboasCinerascens
-0.421887259,-0.094335079,HypsiboasCinerascens
-0.060873103,-0.225691261,HypsiboasCinerascens
-0.340060973,-0.143273767,HypsiboasCinerascens
-0.21891113,-0.14601563,HypsiboasCinerascens
-0.147707886,-0.120625666,HypsiboasCinerascens
-0.434245367,-0.157396493,HypsiboasCinerascens
-0.303786157,-0.084669644,HypsiboasCinerascens
-0.196421517,-0.111810133,HypsiboasCinerascens
-0.189843403,-0.131856732,HypsiboasCinerascens
-0.243512145,-0.109634175,HypsiboasCinerascens
-0.252370426,-0.076289463,HypsiboasCinerascens
-0.0328766,-0.076177775,HypsiboasCinerascens
-0.306375154,-0.120813472,HypsiboasCinerascens
0.055199298,-0.024368441,HypsiboasCinerascens
-0.186833767,-0.074217236,HypsiboasCinerascens
-0.042804461,-0.100959241,HypsiboasCinerascens
-0.266788904,-0.202074832,HypsiboasCinerascens
-0.057332579,-0.011960421,HypsiboasCinerascens
-0.208112955,-0.150316053,HypsiboasCinerascens
-0.030843262,-0.114529431,HypsiboasCinerascens
-0.052234048,-0.105887777,HypsiboasCinerascens
-0.324013516,-0.103810158,HypsiboasCinerascens
