MFCCs_10,MFCCs_17,Species
0.112097843,0.015440238,HylaMinuta
0.02755918,0.149818736,HylaMinuta
0.147581959,0.027917777,HylaMinuta
0.176122925,0.011311199,HylaMinuta
0.015217599,0.171283625,HylaMinuta
0.001733044,0.012152115,HylaMinuta
0.143256469,-0.002239992,HylaMinuta
0.151045452,0.143359388,HylaMinuta
0.15561457,0.011881527,HylaMinuta
0.19376168,-0.060007174,HylaMinuta
0.135762035,0.053172874,HylaMinuta
0.113719749,0.021167671,HylaMinuta
0.128944056,0.024478721,HylaMinuta
0.193015861,-0.046206298,HylaMinuta
0.162001231,0.025221182,HylaMinuta
0.129310589,0.040073538,HylaMinuta
0.094736939,0.021939442,HylaMinuta
0.224023376,0.099564506,HylaMinuta
0.164365211,0.079993506,HylaMinuta
-0.071257265,0.090030901,HylaMinuta
0.11136523,0.048616832,HylaMinuta
0.198191789,0.045600339,HylaMinuta
0.225012735,0.102694241,HylaMinuta
0.14911618,0.027983637,HylaMinuta
0.319606347,0.035512053,HylaMinuta
0.177550058,0.024344322,HylaMinuta
0.041525161,0.148671514,HylaMinuta
0.008516575,0.023909135,HylaMinuta
0.1530341,0.022462631,HylaMinuta
0.151458389,0.112559234,HylaMinuta
0.099050619,0.097285,HylaMinuta
0.12648468,0.164755468,HylaMinuta
0.115573602,0.138767995,HylaMinuta
0.132779502,0.081950947,HylaMinuta
0.111756561,0.153407292,HylaMinuta
0.152389765,0.192510959,HylaMinuta
0.137071859,0.104075351,HylaMinuta
0.132788809,0.212006233,HylaMinuta
0.144295885,0.151716303,HylaMinuta
0.130286836,0.163619206,HylaMinuta
0.136200538,0.105553367,HylaMinuta
0.184528998,0.1921724,HylaMinuta
0.150783244,0.150814475,HylaMinuta
0.125630792,0.135109408,HylaMinuta
0.047947438,0.095478164,HylaMinuta
0.046234049,0.078619481,HylaMinuta
0.028759721,0.151561356,HylaMinuta
0.116240077,0.130921515,HylaMinuta
0.144340695,0.150500282,HylaMinuta
-0.021933668,0.066576218,HylaMinuta
-0.048356803,0.175554637,HylaMinuta
-0.052111096,0.287405954,HylaMinuta
-0.043144552,0.217295464,HylaMinuta
-0.02722717,0.268975566,HylaMinuta
0.118312234,0.089858179,HylaMinuta
0.057512301,0.179935848,HylaMinuta
0.209165159,0.11426662,HylaMinuta
0.248617986,0.132622717,HylaMinuta
0.006338714,0.140276646,HylaMinuta
-0.002680712,-0.065948864,HylaMinuta
0.060512344,0.062053978,HylaMinuta
-0.050808646,0.047470149,HylaMinuta
-0.066798857,0.10905683,HylaMinuta
-0.069385031,0.17170999,HylaMinuta
-0.017220282,0.011923426,HylaMinuta
0.083542008,0.125110959,HylaMinuta
0.103339755,0.066720487,HylaMinuta
-0.010625768,0.009877634,HylaMinuta
0.085840182,0.043093278,HylaMinuta
0.116595182,0.25802845,HylaMinuta
-0.080611466,0.098609971,HylaMinuta
-0.029543793,0.184009998,HylaMinuta
0.086671632,0.171278099,HylaMinuta
0.067057571,0.200484238,HylaMinuta
0.069801458,0.15527405,HylaMinuta
0.139714632,0.075736368,HylaMinuta
0.251283995,0.078209605,HylaMinuta
0.298828672,0.166135476,HylaMinuta
-0.092430424,0.116759505,HylaMinuta
-0.04613134,0.137984204,HylaMinuta
0.008872643,0.076160552,HylaMinuta
0.121299857,0.233089208,HylaMinuta
0.020792316,0.194640492,HylaMinuta
0.206619606,0.051188209,HylaMinuta
0.119328692,0.069683982,HylaMinuta
0.116116383,0.034813517,HylaMinuta
0.088810654,0.035456984,HylaMinuta
0.090106141,0.025727083,HylaMinuta
0.096579661,0.028124186,HylaMinuta
0.160709306,-0.062351807,HylaMinuta
0.180898852,0.111038084,HylaMinuta
0.133368974,0.004926775,HylaMinuta
0.002028043,0.106857564,HylaMinuta
0.416537678,0.298035554,HylaMinuta
0.425214624,-0.257255286,HylaMinuta
0.139881357,0.070520072,HylaMinuta
0.321863013,-0.064958426,HylaMinuta
-0.016874637,0.289464424,HylaMinuta
0.173630347,-0.012247988,HylaMinuta
0.220832818,-0.05306288,HylaMinuta
0.230509056,-0.059309766,HylaMinuta
0.088156305,0.035747361,HylaMinuta
0.10832462,0.057689835,HylaMinuta
0.180535822,-0.027172979,HylaMinuta
0.134310597,0.018827852,HylaMinuta
0.247478895,0.045495217,HylaMinuta
0.181381887,0.038758901,HylaMinuta
0.097820523,0.045502222,HylaMinuta
0.090899712,0.027896547,HylaMinuta
0.118846516,0.044254113,HylaMinuta
0.178606026,0.047530445,HylaMinuta
0.055653749,0.093307007,HylaMinuta
0.098293177,0.065584768,HylaMinuta
0.16927691,-0.01455874,HylaMinuta
0.094854908,0.04791431,HylaMinuta
0.128310949,-0.028896467,HylaMinuta
0.252081043,0.035512444,HylaMinuta
0.15242613,0.108907395,HylaMinuta
0.122575453,0.098146558,HylaMinuta
0.085042735,0.044081004,HylaMinuta
0.072992976,0.079669551,HylaMinuta
0.138028628,0.011191298,HylaMinuta
0.097859708,0.030662923,HylaMinuta
0.161576255,-0.142963919,HylaMinuta
0.133223496,-0.151219896,HylaMinuta
0.07843207,0.161035467,HylaMinuta
0.337579437,0.005610992,HylaMinuta
0.129244857,0.091724133,HylaMinuta
0.139846448,0.06631823,HylaMinuta
0.28809573,-0.300544725,HylaMinuta
0.176530758,-0.005079771,HylaMinuta
0.105095785,0.049698309,HylaMinuta
0.126622892,0.047939955,HylaMinuta
0.141844504,0.027852347,HylaMinuta
0.197272908,-0.002966062,HylaMinuta
0.112666042,0.022612752,HylaMinuta
0.096272718,0.046483617,HylaMinuta
0.100781647,0.082508463,HylaMinuta
0.126352979,0.055588196,HylaMinuta
0.163549201,0.025205979,HylaMinuta
0.314836921,-0.062160917,HylaMinuta
0.227514251,0.08325405,HylaMinuta
0.302412659,0.200818065,HylaMinuta
0.252648873,0.204706749,HylaMinuta
0.199294427,0.091047612,HylaMinuta
0.27832074,0.24004134,HylaMinuta
0.280432754,0.23905621,HylaMinuta
0.307424554,0.317588815,HylaMinuta
0.079508644,0.043233004,HylaMinuta
-0.08434412,0.129061599,HylaMinuta
-0.088970822,0.11241792,HylaMinuta
-0.073229169,0.116613436,HylaMinuta
-0.117323686,0.432527386,HylaMinuta
-0.025363027,0.170546234,HylaMinuta
-0.047331079,0.177538205,HylaMinuta
-0.037623517,0.061352385,HylaMinuta
0.118232013,0.13269914,HylaMinuta
0.061447003,0.08808227,HylaMinuta
0.03246463,0.025202045,HylaMinuta
0.077115893,0.048276833,HylaMinuta
-0.053167428,0.156595252,HylaMinuta
-0.050924079,0.143095599,HylaMinuta
0.036699069,0.301247855,HylaMinuta
0.023992739,0.318671894,HylaMinuta
0.054814443,0.12442839,HylaMinuta
0.136122687,0.161054286,HylaMinuta
0.196141915,0.096533929,HylaMinuta
0.305962475,0.19422486,HylaMinuta
-0.020178246,0.129897155,HylaMinuta
-0.008674198,0.122562439,HylaMinuta
0.020960613,0.125247822,HylaMinuta
0.159480913,0.23478514,HylaMinuta
-0.003127608,0.145444545,HylaMinuta
0.097394272,0.018873089,HylaMinuta
0.183509308,0.05563512,HylaMinuta
0.175079957,0.003766505,HylaMinuta
0.171232148,0.043027139,HylaMinuta
0.033992073,0.044218663,HylaMinuta
0.148547517,0.026291205,HylaMinuta
0.10571588,0.062680453,HylaMinuta
0.364924949,-0.113660725,HylaMinuta
0.226406671,0.174743654,HylaMinuta
0.082969908,-0.013507501,HylaMinuta
0.129704521,-0.006418369,HylaMinuta
0.264763452,0.031888883,HylaMinuta
0.245770928,0.009278763,HylaMinuta
0.101224013,-0.023785591,HylaMinuta
0.293138903,0.024863689,HylaMinuta
0.145594717,-0.035156585,HylaMinuta
0.328871819,-0.041591835,HylaMinuta
0.110851766,0.105952234,HylaMinuta
0.139343292,-0.016700298,HylaMinuta
0.17072936,0.206146989,HylaMinuta
0.132381888,0.042413731,HylaMinuta
0.287123253,-0.130654765,HylaMinuta
0.307374892,-0.11051536,HylaMinuta
0.209654146,-0.011296973,HylaMinuta
0.421875884,-0.127000295,HylaMinuta
0.329522014,-0.111826118,HylaMinuta
0.3575166,-0.097325642,HylaMinuta
0.318406708,-0.134338415,HylaMinuta
0.182387233,-0.047595028,HylaMinuta
0.436781924,-0.17508678,HylaMinuta
0.305451789,-0.118563157,HylaMinuta
0.288660561,-0.143488731,HylaMinuta
0.168590313,-0.02952539,HylaMinuta
0.448839828,-0.172998813,HylaMinuta
0.347474573,-0.140123716,HylaMinuta
0.331984083,-0.120717194,HylaMinuta
0.334353307,-0.138718771,HylaMinuta
